Functional_Group SMARTS Type Alpha Alpha_stdev Beta Beta_stdev Heavy_atoms Number_of_donor_sites Number_of_acceptor_sites Acceptor_heavy_atom Donor_heavy_atom
Chloro_alkyl [CX4]Cl Acceptor NA NA 2.38 0.2 None 0 1 Cl None
Chloro_aryl cCl Acceptor NA NA NA NA None 0 1 Cl None
Bromo_alkyl [CX4]Br Acceptor NA NA 2.25 0.16 None 0 1 Br None
Bromo_aryl cBr Acceptor NA NA 1.38 0.0 None 0 1 Br None
Iodo_alkyl [CX4]I Acceptor NA NA 2.23 0.25 None 0 1 I None
Iodo_aryl cI Acceptor NA NA 1.5 0.0 None 0 1 I None
thiocarbamate_S_aryl_NN_dialkyl C(=[OX1])(Sc)N([CX4])[CX4] Acceptor NA NA NA NA O1,S1,N1 0 2 O None
thiocarbamate_S_alkyl_NN_dialkyl C(=[OX1])(S[CX4])N([CX4])[CX4] Acceptor NA NA NA NA O1,S1,N1 0 2 O None
thiocarbamate_S_aryl_N_alkyl_N_aryl C(=[OX1])(S[CX4])N(c)[CX4] Acceptor NA NA NA NA O1,S1,N1 0 2 O None
thiocarbamate_hydrazide C(S)(=[SX1])N([H])[NX2]=C Both NA NA NA NA S2,N2 1 2 S N
Thiocarbamate_hydrazide C(N([H])[H])(=[SX1])N([H])[NX2]=C Both NA NA NA NA N3,S1 3 2 S N
N_oxide_alkyl_alkyl [NX3]([OX1])(C)C Acceptor NA NA NA NA N1,O1 0 1 O None
N_oxide_aryl_alkyl [NX3]([OX1])(C)c Acceptor NA NA NA NA N1,O1 0 1 O None
N_oxide_aryl_aryl [NX3]([OX1])(c)c Acceptor NA NA NA NA N1,O1 0 1 O None
disulphide C[SX2][SX2]C Acceptor NA NA NA NA S2 0 4 S None
Diazo_alkyl_alkyl C[NX2]=[NX2]C Acceptor NA NA NA NA N2 0 2 N None
Diazo_aryl_aryl c[NX2]=[NX2]c Acceptor NA NA NA NA N2 0 2 N None
Diazo_aryl_alkyl C[NX2]=[NX2]c Acceptor NA NA NA NA N2 0 2 N None
Diazo_bridge C=[N!R][N!R]=C Acceptor NA NA NA NA N2 0 2 N None
Pyrazine c:1(:c(:c(:c(:[nX2]:[nX2]:1)[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 5.5 0.58 N2 0 2 N None
Pyridazine c:1(:c(:[nX2]:c(:c(:[nX2]:1)[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Acceptor NA NA 6.73 0.00 N2 0 2 N None
Alkyl_di_phosphonic_acid [PX4](=[OX1])(O[H])(O[H])[CX4] Both NA NA NA NA P1,O3 2 4 O O
Alkyl_mono_phosphonic_acid P(=[OX1])(O([Cc]))(O([Cc]))(O([H])) Both NA NA NA NA P1,O4 1 2 O O
Imine_N_alkyl [CX4][NX2!R]=C([H])C Acceptor NA NA NA NA N1 1 0 N None
Pyridine_N_oxide c:1:c:c:[n](:c:c:1)[OX1] Acceptor NA NA 9.0 0.0 N1,O1 0 2 O None
Sulphite [SX3](=[OX1])(O[cCX4])O[cCX4] Acceptor NA NA 4.9 0.0 S1,O3 0 2 O None
Biacetyl C(=[OX1])([CX4])C(=[OX1])[CX4] Acceptor NA NA 4.2 0.0 O2 0 4 O None
Dioxalane C1[OX2]CC[OX2]1 Acceptor NA NA 4.5 0.0 O2 0 4 O None
Peroxide [Cc][OX2][OX2][Cc] Acceptor NA NA 3.4 0.0 O2 0 4 O None
substituted_azide C[NX2]=[NX2]=[NX1] Acceptor NA NA NA NA N3 0 3 N None
Chloride [Cl-1X0] Acceptor NA NA NA NA None 0 1 None None
Fluoride [F-1X0] Acceptor NA NA NA NA None 0 1 None None
Bromide [Br-1X0] Acceptor NA NA NA NA None 0 1 None None
Iodide [I-1X0] Acceptor NA NA NA NA None 0 1 None None
Carboxylate_alkyl C(=[OX1])([OX1])[CX4] Acceptor NA NA NA NA O2 0 4 O None
Carboxylate_aryl C(=[OX1])([OX1])[c] Acceptor NA NA NA NA O2 0 4 O None
Sulphonate [SX4](=[OX1])(=[OX1])([OX1])[OX1] Acceptor NA NA NA NA S1,O4 0 6 O None
Sulphonate_1_aryl [SX4](=[OX1])(=[OX1])([OX1])Oc Acceptor NA NA NA NA S1,O4 0 5 O None
Sulphonate_1_alkyl [SX4](=[OX1])(=[OX1])([OX1])O[CX4] Acceptor NA NA NA NA S1,O4 0 5 O None
Deprotonated_phenol c:1:c:c:c(:c:c:1)[OX1] Acceptor NA NA NA NA O1 0 1 O None
Quaternary_amine_trialkyl [H][NX4]([CX4])([CX4])[CX4] Donor NA NA NA NA N1 1 0 None N
Quaternary_amine_dialkyl [H][NX4]([H])([CX4])[CX4] Donor NA NA NA NA N1 2 0 None N
Quaternary_amine_mono_alkyl [H][NX4]([H])([H])[CX4] Donor NA NA NA NA N1 3 0 None N
Ammonium [H][NX4]([H])([H])[H] Donor NA NA NA NA N1 4 0 None N
Protonated_pyridine c:1:c:c:[nX3](:c:c:1)[H] Donor NA NA NA NA N1 1 0 None N
Protonated_imidazole C1=C[NX3](C=N1[H])C Donor NA NA NA NA N2 1 0 None N
Nitrate [NX3](~[OX1])(~[OX1])~[OX1] Acceptor NA NA NA NA N1,O3 0 6 O None
Hydrogen_sulphate S(=[OX1])(=[OX1])([OX1])O([H]) Both NA NA NA NA S1,O4 1 5 O O
dihydrogen_phosphate [PX4](O[H])(O[H])(=[OX1])[OX1-1] Both NA NA NA NA P1,O4 1 5 O O
hydrogen_phosphate [PX4](O[H])([OX1-1])(=[OX1])[OX1-1] Both NA NA NA NA P1,O4 1 5 O O
Carbonate C(=O)([OX1-1])([OX1-1]) Acceptor NA NA NA NA O3 0 5 O None
hydrogen_carbonate C(=O)(O[H])([OX1-1]) Both NA NA NA NA O3 1 5 O O
hydroxyate [OX1-1]([H]) Both NA NA NA NA O1 1 3 O O
alkoxy_ion [OX1-1]([CX4]) Acceptor NA NA NA NA O1 0 3 O None
hydrogen_thiolate [SX1-1]([H]) Both NA NA NA NA S1 1 3 S S
alkyl_thiolate [SX1-1]([CX4]) Acceptor NA NA NA NA S1 0 3 S None
sulphide [SX0-2] Acceptor NA NA NA NA S1 0 6 S None
cyanide [CX3-1]#N Acceptor NA NA NA NA N1 0 2 N None
Azide [NX1][NX2][NX1] Acceptor NA NA NA NA N3 0 6 N None
Deprotonated_thiophenol c:1:c:c:c(:c:c:1)[SX1] Acceptor NA NA NA NA S1 0 1 S None
Phosphonate_1 [PX4](=[OX1])([OX1])(O[H])[CX4] Both NA NA NA NA P1,O3 1 4 O O
Phosphonate_2 [PX4](=[OX1])([OX1])([OX1])[CX4] Both NA NA NA NA P1,O3 1 4 O O
phosphonate_3 [PX4](=[OX1])([OX1])([CX4])[CX4] Both NA NA NA NA P1,O2 1 4 O O
phosphonate_4 [PX4](=[OX1])([OX1])(O[CX4])[CX4] Both NA NA NA NA P1,O3 1 4 O O
phosphonate_4 [PX4](=[OX1])([OX1])(O[CX4])O[CX4] Both NA NA NA NA P1,O4 1 4 O O
Scandium-CO [Sc]C#O Acceptor NA NA NA NA O1 0 1 None O
Ytterium-CO [Y]C#O Acceptor NA NA NA NA O1 0 1 None O
Titanium-CO [Ti]C#O Acceptor NA NA NA NA O1 0 1 None O
Zirconium-CO [Zr]C#O Acceptor NA NA NA NA O1 0 1 None O
Hafnium-CO [Hf]C#O Acceptor NA NA NA NA O1 0 1 None O
Vanadium-CO [V]C#O Acceptor NA NA NA NA O1 0 1 None O
Niobium-CO [Nb]C#O Acceptor NA NA NA NA O1 0 1 None O
Tantalum-CO [Ta]C#O Acceptor NA NA NA NA O1 0 1 None O
Chromium-CO [Cr]C#O Acceptor NA NA NA NA O1 0 1 None O
Molibdenum-CO [Mo]C#O Acceptor NA NA NA NA O1 0 1 None O
Tungsten-CO [W]C#O Acceptor NA NA NA NA O1 0 1 None O
Manganese-CO [Mn]C#O Acceptor NA NA NA NA O1 0 1 None O
Technitium-CO [Tc]C#O Acceptor NA NA NA NA O1 0 1 None O
Rhenium-CO [Re]C#O Acceptor NA NA NA NA O1 0 1 None O
Iron-CO [Fe]C#O Acceptor NA NA NA NA O1 0 1 None O
Ruthenium-CO [Ru]C#O Acceptor NA NA NA NA O1 0 1 None O
Osmium-CO [Os]C#O Acceptor NA NA NA NA O1 0 1 None O
Cobalt-CO [Co]C#O Acceptor NA NA NA NA O1 0 1 None O
Rhodium-CO [Rh]C#O Acceptor NA NA NA NA O1 0 1 None O
Iridium-CO [Ir]C#O Acceptor NA NA NA NA O1 0 1 None O
Nickel-CO [Ni]C#O Acceptor NA NA NA NA O1 0 1 None O
Paladium-CO [Pd]C#O Acceptor NA NA NA NA O1 0 1 None O
Platinum-CO [Pt]C#O Acceptor NA NA NA NA O1 0 1 None O
Copper-CO [Cu]C#O Acceptor NA NA NA NA O1 0 1 None O
Silver-CO [Ag]C#O Acceptor NA NA NA NA O1 0 1 None O
Gold-CO [Au]C#O Acceptor NA NA NA NA O1 0 1 None O
Zinc-CO [Zn]C#O Acceptor NA NA NA NA O1 0 1 None O
Cadmium-CO [Cd]C#O Acceptor NA NA NA NA O1 0 1 None O
Mercury-CO [Hg]C#O Acceptor NA NA NA NA O1 0 1 None O
Scandium-Fluoro [Sc]F Acceptor NA NA NA NA None 0 1 None O
Ytterium-Fluoro [Y]F Acceptor NA NA NA NA None 0 1 None O
Titanium-Fluoro [Ti]F Acceptor NA NA NA NA None 0 1 None O
Zirconium-Fluoro [Zr]F Acceptor NA NA NA NA None 0 1 None O
Hafnium-Fluoro [Hf]F Acceptor NA NA NA NA None 0 1 None O
Vanadium-Fluoro [V]F Acceptor NA NA NA NA None 0 1 None O
Niobium-Fluoro [Nb]F Acceptor NA NA NA NA None 0 1 None O
Tantalum-Fluoro [Ta]F Acceptor NA NA NA NA None 0 1 None O
Chromium-Fluoro [Cr]F Acceptor NA NA NA NA None 0 1 None O
Molibdenum-Fluoro [Mo]F Acceptor NA NA NA NA None 0 1 None O
Tungsten-Fluoro [W]F Acceptor NA NA NA NA None 0 1 None O
Manganese-Fluoro [Mn]F Acceptor NA NA NA NA None 0 1 None O
Technitium-Fluoro [Tc]F Acceptor NA NA NA NA None 0 1 None O
Rhenium-Fluoro [Re]F Acceptor NA NA NA NA None 0 1 None O
Iron-Fluoro [Fe]F Acceptor NA NA NA NA None 0 1 None O
Ruthenium-Fluoro [Ru]F Acceptor NA NA NA NA None 0 1 None O
Osmium-Fluoro [Os]F Acceptor NA NA NA NA None 0 1 None O
Cobalt-Fluoro [Co]F Acceptor NA NA NA NA None 0 1 None O
Rhodium-Fluoro [Rh]F Acceptor NA NA NA NA None 0 1 None O
Iridium-Fluoro [Ir]F Acceptor NA NA NA NA None 0 1 None O
Nickel-Fluoro [Ni]F Acceptor NA NA NA NA None 0 1 None O
Paladium-Fluoro [Pd]F Acceptor NA NA NA NA None 0 1 None O
Platinum-Fluoro [Pt]F Acceptor NA NA NA NA None 0 1 None O
Copper-Fluoro [Cu]F Acceptor NA NA NA NA None 0 1 None O
Silver-Fluoro [Ag]F Acceptor NA NA NA NA None 0 1 None O
Gold-Fluoro [Au]F Acceptor NA NA NA NA None 0 1 None O
Zinc-Fluoro [Zn]F Acceptor NA NA NA NA None 0 1 None O
Cadmium-Fluoro [Cd]F Acceptor NA NA NA NA None 0 1 None O
Mercury-Fluoro [Hg]F Acceptor NA NA NA NA None 0 1 None O
Scandium-Chloro [Sc]Cl Acceptor NA NA NA NA None 0 1 None O
Ytterium-Chloro [Y]Cl Acceptor NA NA NA NA None 0 1 None O
Titanium-Chloro [Ti]Cl Acceptor NA NA NA NA None 0 1 None O
Zirconium-Chloro [Zr]Cl Acceptor NA NA NA NA None 0 1 None O
Hafnium-Chloro [Hf]Cl Acceptor NA NA NA NA None 0 1 None O
Vanadium-Chloro [V]Cl Acceptor NA NA NA NA None 0 1 None O
Niobium-Chloro [Nb]Cl Acceptor NA NA NA NA None 0 1 None O
Tantalum-Chloro [Ta]Cl Acceptor NA NA NA NA None 0 1 None O
Chromium-Chloro [Cr]Cl Acceptor NA NA NA NA None 0 1 None O
Molibdenum-Chloro [Mo]Cl Acceptor NA NA NA NA None 0 1 None O
Tungsten-Chloro [W]Cl Acceptor NA NA NA NA None 0 1 None O
Manganese-Chloro [Mn]Cl Acceptor NA NA NA NA None 0 1 None O
Technitium-Chloro [Tc]Cl Acceptor NA NA NA NA None 0 1 None O
Rhenium-Chloro [Re]Cl Acceptor NA NA NA NA None 0 1 None O
Iron-Chloro [Fe]Cl Acceptor NA NA NA NA None 0 1 None O
Ruthenium-Chloro [Ru]Cl Acceptor NA NA NA NA None 0 1 None O
Osmium-Chloro [Os]Cl Acceptor NA NA NA NA None 0 1 None O
Cobalt-Chloro [Co]Cl Acceptor NA NA NA NA None 0 1 None O
Rhodium-Chloro [Rh]Cl Acceptor NA NA NA NA None 0 1 None O
Iridium-Chloro [Ir]Cl Acceptor NA NA NA NA None 0 1 None O
Nickel-Chloro [Ni]Cl Acceptor NA NA NA NA None 0 1 None O
Paladium-Chloro [Pd]Cl Acceptor NA NA NA NA None 0 1 None O
Platinum-Chloro [Pt]Cl Acceptor NA NA NA NA None 0 1 None O
Copper-Chloro [Cu]Cl Acceptor NA NA NA NA None 0 1 None O
Silver-Chloro [Ag]Cl Acceptor NA NA NA NA None 0 1 None O
Gold-Chloro [Au]Cl Acceptor NA NA NA NA None 0 1 None O
Zinc-Chloro [Zn]Cl Acceptor NA NA NA NA None 0 1 None O
Cadmium-Chloro [Cd]Cl Acceptor NA NA NA NA None 0 1 None O
Mercury-Chloro [Hg]Cl Acceptor NA NA NA NA None 0 1 None O
Scandium-Bromo [Sc]Br Acceptor NA NA NA NA None 0 1 None O
Ytterium-Bromo [Y]Br Acceptor NA NA NA NA None 0 1 None O
Titanium-Bromo [Ti]Br Acceptor NA NA NA NA None 0 1 None O
Zirconium-Bromo [Zr]Br Acceptor NA NA NA NA None 0 1 None O
Hafnium-Bromo [Hf]Br Acceptor NA NA NA NA None 0 1 None O
Vanadium-Bromo [V]Br Acceptor NA NA NA NA None 0 1 None O
Niobium-Bromo [Nb]Br Acceptor NA NA NA NA None 0 1 None O
Tantalum-Bromo [Ta]Br Acceptor NA NA NA NA None 0 1 None O
Chromium-Bromo [Cr]Br Acceptor NA NA NA NA None 0 1 None O
Molibdenum-Bromo [Mo]Br Acceptor NA NA NA NA None 0 1 None O
Tungsten-Bromo [W]Br Acceptor NA NA NA NA None 0 1 None O
Manganese-Bromo [Mn]Br Acceptor NA NA NA NA None 0 1 None O
Technitium-Bromo [Tc]Br Acceptor NA NA NA NA None 0 1 None O
Rhenium-Bromo [Re]Br Acceptor NA NA NA NA None 0 1 None O
Iron-Bromo [Fe]Br Acceptor NA NA NA NA None 0 1 None O
Ruthenium-Bromo [Ru]Br Acceptor NA NA NA NA None 0 1 None O
Osmium-Bromo [Os]Br Acceptor NA NA NA NA None 0 1 None O
Cobalt-Bromo [Co]Br Acceptor NA NA NA NA None 0 1 None O
Rhodium-Bromo [Rh]Br Acceptor NA NA NA NA None 0 1 None O
Iridium-Bromo [Ir]Br Acceptor NA NA NA NA None 0 1 None O
Nickel-Bromo [Ni]Br Acceptor NA NA NA NA None 0 1 None O
Paladium-Bromo [Pd]Br Acceptor NA NA NA NA None 0 1 None O
Platinum-Bromo [Pt]Br Acceptor NA NA NA NA None 0 1 None O
Copper-Bromo [Cu]Br Acceptor NA NA NA NA None 0 1 None O
Silver-Bromo [Ag]Br Acceptor NA NA NA NA None 0 1 None O
Gold-Bromo [Au]Br Acceptor NA NA NA NA None 0 1 None O
Zinc-Bromo [Zn]Br Acceptor NA NA NA NA None 0 1 None O
Cadmium-Bromo [Cd]Br Acceptor NA NA NA NA None 0 1 None O
Mercury-Bromo [Hg]Br Acceptor NA NA NA NA None 0 1 None O
Scandium-Iodo [Sc]I Acceptor NA NA NA NA None 0 1 None O
Ytterium-Iodo [Y]I Acceptor NA NA NA NA None 0 1 None O
Titanium-Iodo [Ti]I Acceptor NA NA NA NA None 0 1 None O
Zirconium-Iodo [Zr]I Acceptor NA NA NA NA None 0 1 None O
Hafnium-Iodo [Hf]I Acceptor NA NA NA NA None 0 1 None O
Vanadium-Iodo [V]I Acceptor NA NA NA NA None 0 1 None O
Niobium-Iodo [Nb]I Acceptor NA NA NA NA None 0 1 None O
Tantalum-Iodo [Ta]I Acceptor NA NA NA NA None 0 1 None O
Chromium-Iodo [Cr]I Acceptor NA NA NA NA None 0 1 None O
Molibdenum-Iodo [Mo]I Acceptor NA NA NA NA None 0 1 None O
Tungsten-Iodo [W]I Acceptor NA NA NA NA None 0 1 None O
Manganese-Iodo [Mn]I Acceptor NA NA NA NA None 0 1 None O
Technitium-Iodo [Tc]I Acceptor NA NA NA NA None 0 1 None O
Rhenium-Iodo [Re]I Acceptor NA NA NA NA None 0 1 None O
Iron-Iodo [Fe]I Acceptor NA NA NA NA None 0 1 None O
Ruthenium-Iodo [Ru]I Acceptor NA NA NA NA None 0 1 None O
Osmium-Iodo [Os]I Acceptor NA NA NA NA None 0 1 None O
Cobalt-Iodo [Co]I Acceptor NA NA NA NA None 0 1 None O
Rhodium-Iodo [Rh]I Acceptor NA NA NA NA None 0 1 None O
Iridium-Iodo [Ir]I Acceptor NA NA NA NA None 0 1 None O
Nickel-Iodo [Ni]I Acceptor NA NA NA NA None 0 1 None O
Paladium-Iodo [Pd]I Acceptor NA NA NA NA None 0 1 None O
Platinum-Iodo [Pt]I Acceptor NA NA NA NA None 0 1 None O
Copper-Iodo [Cu]I Acceptor NA NA NA NA None 0 1 None O
Silver-Iodo [Ag]I Acceptor NA NA NA NA None 0 1 None O
Gold-Iodo [Au]I Acceptor NA NA NA NA None 0 1 None O
Zinc-Iodo [Zn]I Acceptor NA NA NA NA None 0 1 None O
Cadmium-Iodo [Cd]I Acceptor NA NA NA NA None 0 1 None O
Mercury-Iodo [Hg]I Acceptor NA NA NA NA None 0 1 None O
Scandium-DABCO [Sc][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Ytterium-DABCO [Y][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Titanium-DABCO [Ti][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Zirconium-DABCO [Zr][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Hafnium-DABCO [Hf][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Vanadium-DABCO [V][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Niobium-DABCO [Nb][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Tantalum-DABCO [Ta][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Chromium-DABCO [Cr][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Molibdenum-DABCO [Mo][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Tungsten-DABCO [W][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Manganese-DABCO [Mn][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Technitium-DABCO [Tc][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Rhenium-DABCO [Re][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Iron-DABCO [Fe][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Ruthenium-DABCO [Ru][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Osmium-DABCO [Os][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Cobalt-DABCO [Co][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Rhodium-DABCO [Rh][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Iridium-DABCO [I][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Nickel-DABCO [Ni][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Paladium-DABCO [Pd][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Platinum-DABCO [Pt][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Copper-DABCO [Cu][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Silver-DABCO [Ag][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Gold-DABCO [Au][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Zinc-DABCO [Zn][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Cadmium-DABCO [Cd][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Mercury-DABCO [Hg][N+0]21CCN(CC1)CC2 Acceptor NA NA NA NA None 0 1 None O
Scandium-Pyrazine [Sc]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Ytterium-Pyrazine [Y]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Titanium-Pyrazine [Ti]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Zirconium-Pyrazine [Zr]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Hafnium-Pyrazine [Hf]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Vanadium-Pyrazine [V]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Niobium-Pyrazine [Nb]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Tantalum-Pyrazine [Ta]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Chromium-Pyrazine [Cr]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Molibdenum-Pyrazine [Mo]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Tungsten-Pyrazine [W]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Manganese-Pyrazine [Mn]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Technitium-Pyrazine [Tc]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Rhenium-Pyrazine [Re]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Iron-Pyrazine [Fe]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Ruthenium-Pyrazine [Ru]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Osmium-Pyrazine [Os]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Cobalt-Pyrazine [Co]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Rhodium-Pyrazine [Rh]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Iridium-Pyrazine [Ir]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Nickel-Pyrazine [Ni]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Paladium-Pyrazine [Pd]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Platinum-Pyrazine [Pt]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Copper-Pyrazine [Cu]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Silver-Pyrazine [Ag]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Gold-Pyrazine [Au]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Zinc-Pyrazine [Zn]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Cadmium-Pyrazine [Cd]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
Mercury-Pyrazine [Hg]n:1:c:c:n:c:c:1 Acceptor NA NA NA NA None 0 1 None O
